Locations of each point along axis of the fairway of the Waal River (Netherlands)
column names refer to M: distance along the axis, X: x-coordinate, Y: y-coordinate
index column gives the index of the point along the axis of the fairway
Index column links the locations to the bed elevation and dates
XY locations given in RDNew reference system (crs code: EPSG:28992)

,M,X,Y
42,42.00000000254749,178864.2825593017,433086.52916090935
43,42.99999999785642,178863.29593800008,433086.69218973443
44,43.99999999559467,178862.30931669846,433086.8552185744
45,44.99999999640104,178861.32269539312,433087.01824741066
46,46.00000000088286,178860.33607408404,433087.1812762469
47,46.999999994945654,178859.34945278615,433087.3443050869
48,47.99999999942747,178858.36283147708,433087.50733392313
49,49.00000000023384,178857.37621017173,433087.6703627594
50,49.99999999797209,178856.3895888701,433087.83339159936
51,50.999999998778456,178855.40296756476,433087.9964204356
52,51.99999999590938,178854.41634626314,433088.15944927186
53,53.000000000998526,178853.42972495407,433088.32247811183
54,53.999999994453994,178852.44310365617,433088.4855069481
55,54.99999999954314,178851.4564823471,433088.64853578806
56,56.00000000034951,178850.46986104175,433088.8115646243
57,56.99999999748043,178849.48323974013,433088.97459346056
58,57.999999998894125,178848.4966184348,433089.13762230054
59,58.999999996025046,178847.50999713317,433089.3006511368
60,60.000000000506866,178846.5233758241,433089.46367997304
61,61.00000000192056,178845.53675451875,433089.626708813
62,61.99999999905148,178844.55013321713,433089.78973764926
63,62.99999999985785,178843.56351191178,433089.9527664855
64,63.9999999975961,178842.57689061016,433090.1157953255
65,65.00000000207793,178841.5902693011,433090.27882416174
66,65.99999999553339,178840.6036480032,433090.441852998
67,67.00000000062253,178839.61702669412,433090.60488183796
68,68.0000000014289,178838.63040538877,433090.7679106742
69,68.99999999916714,178837.64378408715,433090.9309395142
70,69.99999999997351,178836.6571627818,433091.09396835044
71,70.99999999710442,178835.67054148018,433091.2569971867
72,71.99999999851812,178834.68392017484,433091.42002602667
73,72.99999999564903,178833.69729887322,433091.5830548629
74,74.00000000013085,178832.71067756414,433091.74608369917
75,75.00000000154455,178831.7240562588,433091.90911253914
76,75.99999999867546,178830.73743495718,433092.0721413754
77,76.99999999948183,178829.75081365183,433092.23517021164
78,77.99999999479076,178828.7641923502,433092.3981990367
79,78.99999999802644,178827.77757104486,433092.56122788787
80,80.00000000311559,178826.7909497358,433092.72425672784
81,80.99999999414173,178825.8043284379,433092.8872855492
82,81.99999999923088,178824.81770712882,433093.05031438917
83,82.99999999879111,178823.8310858272,433093.2133432403
84,83.99999999716816,178822.84446452186,433093.37637206167
85,84.9999999949064,178821.85784322023,433093.53940090165
86,85.99999999814209,178820.8712219149,433093.7024297528
87,87.00000000019459,178819.88460060582,433093.86545857415
88,87.999988325605,178818.89890170097,433094.03390536085
89,88.99998832875274,178817.9139155671,433094.2065388523
90,89.99998833016043,178816.92892943695,433094.37917235494
91,90.9999883300926,178815.94394330308,433094.55180582777
92,91.9999883315003,178814.95895717293,433094.7244393304
93,92.99998832473688,178813.9739710465,433094.89707280695
94,93.99998832614457,178812.98898491636,433095.0697063096
95,94.9999883286492,178812.0039987825,433095.2423397973
96,95.99998832812756,178811.01901265234,433095.4149732888
97,96.99998833063218,178810.03402651846,433095.5876067765
98,97.99998833011054,178809.04904038832,433095.76024026796
99,98.99998832527643,178808.0640542619,433095.9328737557
100,99.99998833145041,178807.0790681243,433096.1055072434
101,100.99998832725942,178806.09408199787,433096.2781407349
102,101.99998832609468,178805.10909586772,433096.4507742226
103,102.9999883285993,178804.12410973385,433096.62340771034
104,103.99998833174703,178803.13912359998,433096.7960412018
105,104.9999883305823,178802.15413746983,433096.96867468953
106,105.99998832574819,178801.1691513434,433097.14130817726
107,106.99998832522655,178800.18416521326,433097.3139416687
108,107.99998832773117,178799.19917907938,433097.48657515645
109,108.99998832720954,178798.21419294924,433097.6592086479
110,109.99998832971416,178797.22920681536,433097.83184213564
111,110.99998832854942,178796.2442206852,433098.00447562337
112,111.99998832435843,178795.2592345588,433098.1771091148
113,112.99998833310484,178794.2742484212,433098.34974261746
114,113.9999883256983,178793.28926229477,433098.5223760903
115,114.999988327106,178792.30427616462,433098.6950095929
116,115.99998832768128,178791.31929003075,433098.8676430695
117,116.99998832908898,178790.3343039006,433099.0402765721
118,117.99998833223671,178789.34931776673,433099.21291006356
119,118.9999883274026,178788.3643316403,433099.3855435513
120,119.99998832623787,178787.37934551015,433099.558177039
121,120.9999883293856,178786.39435937628,433099.7308105305
122,121.99998832822087,178785.40937324613,433099.9034440182
123,122.99998833072549,178784.42438711226,433100.07607750595
124,123.99998833020385,178783.4394009821,433100.2487109974
125,124.99998832536974,178782.4544148557,433100.42134448513
126,125.99998833154372,178781.4694287181,433100.59397797287
127,126.99998832735272,178780.48444259167,433100.7666114643
128,127.99998832618799,178779.49945646152,433100.93924495205
129,128.9999883293357,178778.51447032765,433101.1118784435
130,129.99998832817096,178777.5294841975,433101.28451193124
131,130.99998833067556,178776.54449806362,433101.457145419
132,131.99998832281523,178775.55951194093,433101.6297789104
133,132.99998832531983,178774.57452580705,433101.80241239816
134,133.99998832782444,178773.58953967318,433101.9750458859
135,134.99998832730282,178772.60455354303,433102.14767937735
136,135.99998832980742,178771.61956740916,433102.3203128651
137,136.99998832864267,178770.634581279,433102.4929463528
138,137.9999883244517,178769.6495951526,433102.66557984427
139,138.99998833062568,178768.664609015,433102.838213332
140,139.9999883264347,178767.67962288857,433103.01084682345
141,140.9999883278424,178766.69463675842,433103.1834803261
142,141.9999883277746,178765.70965062454,433103.3561137989
143,142.9999883291823,178764.7246644944,433103.52874730155
144,143.99998833233002,178763.73967836052,433103.701380793
145,144.99998832382656,178762.75469223782,433103.87401428074
146,145.99998832633116,178761.76970610395,433104.04664776847
147,146.9999883294789,178760.78471997008,433104.2192812599
148,147.99998832831415,178759.79973383993,433104.39191474766
