datum_tijd,Q
2009-12-05,1541.8
2009-12-06,1530.36
2009-12-07,1518.52
2009-12-08,1516.0
2009-12-09,1542.64
2009-12-10,1584.28
2009-12-11,1705.48
2009-12-12,1982.32
2009-12-13,2238.64
2009-12-14,2262.2
2009-12-15,2173.4
2009-12-16,2067.96
2009-12-17,1941.92
2009-12-18,1809.24
2009-12-19,1680.44
2009-12-20,1582.68
2009-12-21,1500.6
2009-12-22,1430.16
2009-12-23,1396.32
2009-12-24,1381.72
2009-12-25,1420.68
2009-12-26,1583.36
2009-12-27,1835.28
2009-12-28,2221.04
2009-12-29,2406.32
2009-12-30,2327.6
2009-12-31,2211.6
2010-01-01,2283.44
2010-01-02,2587.08
2010-01-03,2965.12
2010-01-04,3229.48
2010-01-05,3224.24
2010-01-06,2966.8
2010-01-07,2593.2
2010-01-08,2237.64
2010-01-09,2002.96
2010-01-10,1859.88
2010-01-11,1762.12
2010-01-12,1674.68
2010-01-13,1595.88
2010-01-14,1544.64
2010-01-15,1485.56
2010-01-16,1448.84
2010-01-17,1425.16
2010-01-18,1418.56
2010-01-19,1430.0
2010-01-20,1526.36
2010-01-21,1744.68
2010-01-22,1855.8
2010-01-23,1819.08
2010-01-24,1736.88
2010-01-25,1653.0
2010-01-26,1581.32
2010-01-27,1515.0
2010-01-28,1477.28
2010-01-29,1460.16
2010-01-30,1454.64
2010-01-31,1436.32
2010-02-01,1415.04
2010-02-02,1410.68
2010-02-03,1408.76
2010-02-04,1419.16
2010-02-05,1425.68
2010-02-06,1598.64
2010-02-07,1936.2
2010-02-08,2084.56
2010-02-09,2112.84
2010-02-10,2100.76
2010-02-11,2021.28
2010-02-12,1901.2
2010-02-13,1775.68
2010-02-14,1655.12
2010-02-15,1568.92
2010-02-16,1501.76
2010-02-17,1448.16
2010-02-18,1412.64
2010-02-19,1387.32
2010-02-20,1374.44
2010-02-21,1372.76
2010-02-22,1395.32
2010-02-23,1428.68
2010-02-24,1485.64
2010-02-25,1650.28
2010-02-26,2061.0
2010-02-27,2669.88
2010-02-28,3133.32
2010-03-01,3445.08
2010-03-02,3705.56
2010-03-03,3889.52
2010-03-04,3775.76
2010-03-05,3450.04
2010-03-06,3053.04
2010-03-07,2665.84
2010-03-08,2348.24
2010-03-09,2103.96
2010-03-10,1933.96
2010-03-11,1808.72
2010-03-12,1711.92
2010-03-13,1630.48
2010-03-14,1563.92
2010-03-15,1512.44
2010-03-16,1490.52
2010-03-17,1487.0
2010-03-18,1503.52
2010-03-19,1517.76
2010-03-20,1538.48
2010-03-21,1552.84
2010-03-22,1559.48
2010-03-23,1626.4
2010-03-24,1732.16
2010-03-25,1778.56
2010-03-26,1798.4
2010-03-27,1786.24
2010-03-28,1753.96
2010-03-29,1726.52
2010-03-30,1780.28
2010-03-31,1851.84
2010-04-01,1908.68
2010-04-02,1965.08
2010-04-03,1936.76
2010-04-04,1881.64
2010-04-05,1815.48
2010-04-06,1758.6
2010-04-07,1722.44
2010-04-08,1704.04
2010-04-09,1645.96
2010-04-10,1577.76
2010-04-11,1520.36
2010-04-12,1478.2
2010-04-13,1446.64
2010-04-14,1420.88
2010-04-15,1394.32
2010-04-16,1383.56
2010-04-17,1378.84
2010-04-18,1366.88
2010-04-19,1342.96
2010-04-20,1301.56
2010-04-21,1252.84
2010-04-22,1217.04
2010-04-23,1179.08
2010-04-24,1143.72
2010-04-25,1111.04
2010-04-26,1086.72
2010-04-27,1070.56
2010-04-28,1062.96
2010-04-29,1060.52
2010-04-30,1053.44
2010-05-01,1047.44
2010-05-02,1042.76
2010-05-03,1043.6
2010-05-04,1055.92
2010-05-05,1065.6
2010-05-06,1107.92
2010-05-07,1181.6
2010-05-08,1312.68
2010-05-09,1396.72
2010-05-10,1444.16
2010-05-11,1459.64
2010-05-12,1447.16
2010-05-13,1422.68
2010-05-14,1418.72
2010-05-15,1453.0
2010-05-16,1479.36
2010-05-17,1510.68
2010-05-18,1570.48
2010-05-19,1558.0
2010-05-20,1517.64
2010-05-21,1482.72
2010-05-22,1465.8
2010-05-23,1465.8
2010-05-24,1445.32
2010-05-25,1408.72
2010-05-26,1368.0
2010-05-27,1333.28
2010-05-28,1325.88
2010-05-29,1354.76
2010-05-30,1381.92
2010-05-31,1412.6
2010-06-01,1424.0
2010-06-02,1449.48
2010-06-03,1498.44
2010-06-04,1588.64
2010-06-05,1670.16
2010-06-06,1668.64
2010-06-07,1633.48
2010-06-08,1637.64
2010-06-09,1652.32
2010-06-10,1635.12
2010-06-11,1607.32
2010-06-12,1646.24
2010-06-13,1711.96
2010-06-14,1739.64
2010-06-15,1712.76
2010-06-16,1635.28
2010-06-17,1568.96
2010-06-18,1530.48
2010-06-19,1526.64
2010-06-20,1530.2
2010-06-21,1540.88
2010-06-22,1644.96
2010-06-23,1764.0
2010-06-24,1841.8
2010-06-25,1850.48
2010-06-26,1801.04
2010-06-27,1726.68
2010-06-28,1645.52
2010-06-29,1571.32
2010-06-30,1504.2
2010-07-01,1445.16
2010-07-02,1400.08
2010-07-03,1370.52
2010-07-04,1356.36
2010-07-05,1355.56
2010-07-06,1342.12
2010-07-07,1335.84
2010-07-08,1346.84
2010-07-09,1346.52
2010-07-10,1321.4
2010-07-11,1296.72
2010-07-12,1256.2
2010-07-13,1237.0
2010-07-14,1218.12
2010-07-15,1202.84
2010-07-16,1195.48
2010-07-17,1177.24
2010-07-18,1181.8
2010-07-19,1175.24
2010-07-20,1164.2
2010-07-21,1153.92
2010-07-22,1144.32
2010-07-23,1141.4
2010-07-24,1126.0
2010-07-25,1102.4
2010-07-26,1114.44
2010-07-27,1204.68
2010-07-28,1349.88
2010-07-29,1405.24
2010-07-30,1415.12
2010-07-31,1424.16
2010-08-01,1431.16
2010-08-02,1445.48
2010-08-03,1481.88
2010-08-04,1515.32
2010-08-05,1543.16
2010-08-06,1559.64
2010-08-07,1558.64
2010-08-08,1559.16
2010-08-09,1599.56
2010-08-10,1659.04
2010-08-11,1699.52
2010-08-12,1712.64
2010-08-13,1681.04
2010-08-14,1624.72
2010-08-15,1585.92
2010-08-16,1605.44
2010-08-17,1690.68
2010-08-18,1783.64
2010-08-19,1884.44
2010-08-20,1952.16
2010-08-21,1987.28
2010-08-22,1952.56
2010-08-23,1880.84
2010-08-24,1815.84
2010-08-25,1721.12
2010-08-26,1649.08
2010-08-27,1636.24
2010-08-28,1656.48
2010-08-29,1708.48
2010-08-30,1776.0
2010-08-31,1826.36
2010-09-01,1925.48
2010-09-02,2039.88
2010-09-03,2076.68
2010-09-04,2052.2
2010-09-05,1997.56
2010-09-06,1906.24
2010-09-07,1810.68
2010-09-08,1720.6
2010-09-09,1649.4
2010-09-10,1616.52
2010-09-11,1603.24
2010-09-12,1574.72
2010-09-13,1538.8
2010-09-14,1510.92
2010-09-15,1491.68
2010-09-16,1493.36
2010-09-17,1503.36
2010-09-18,1512.84
2010-09-19,1492.88
2010-09-20,1452.84
2010-09-21,1411.84
2010-09-22,1379.2
2010-09-23,1358.16
2010-09-24,1340.32
2010-09-25,1314.04
2010-09-26,1312.64
2010-09-27,1313.68
2010-09-28,1309.04
2010-09-29,1348.72
2010-09-30,1455.64
2010-10-01,1542.96
2010-10-02,1524.8
2010-10-03,1487.88
2010-10-04,1460.08
